Class,a3,a23,a35,a46_ ,a47_Blockwell say NOTSAFU
False,704785.63,265.0,0.0,False,False
False,1218216.73,8.0,0.0,False,False
False,397555.9,14.0,0.0,False,False
False,382472.42,42.0,0.0,False,False
False,20926.68,0.0,0.0,False,False
False,8660.35,0.0,0.0,False,False
False,496.62,0.0,0.0,False,False
False,129540.15,0.0,0.0,False,False
False,540061.9,33.0,0.0,False,False
False,280803.43,0.0,0.0,False,False
False,842599.05,13.0,0.0,False,False
False,2318.5,0.0,0.0,False,False
False,329.78,0.0,0.0,False,False
False,712.88,0.0,0.0,False,False
False,892782.2,16.0,0.0,False,False
False,30.65,0.0,0.0,False,False
False,68.87,0.0,0.0,False,False
False,338429.65,0.0,0.0,False,False
False,955278.0,48.0,0.0,False,False
False,561789.58,0.0,0.0,False,False
False,450106.65,325.0,0.0,False,False
False,4.87,2.0,0.0,False,False
False,636162.82,10.0,0.0,False,False
False,345142.02,0.0,0.0,False,False
False,21206.93,35.0,0.0,False,False
False,160707.1,13.0,0.0,False,False
False,802574.4,15.0,1.0,False,False
False,355017.02,7.0,1e-06,False,False
False,328.45,0.0,0.0,False,False
False,13445.97,0.0,0.0,False,False
False,340383.53,0.0,0.0,False,False
False,204236.48,5.0,1.0,False,False
False,1169229.5,20.0,0.0,False,False
False,962956.75,135.0,0.0,False,False
False,97419.95,27.0,0.0,False,False
False,754216.92,579.0,0.0,False,False
False,652.87,0.0,0.0,False,False
False,24534.25,0.0,0.0,False,False
False,4486.98,0.0,0.0,False,False
False,2.5,0.0,0.0,False,False
False,8873.97,0.0,0.0,False,False
False,242427.3,0.0,0.0,False,False
False,531093.05,18.0,0.0,False,False
False,414518.23,19.0,0.0,False,False
False,10032.05,0.0,0.0,False,False
False,120621.38,0.0,0.0,False,False
False,28803.42,0.0,0.0,False,False
False,8.92,0.0,0.0,False,False
False,9299.17,0.0,0.0,False,False
False,321695.25,3.0,2000.0,False,False
False,161076.67,0.0,0.0,False,False
False,620113.1,91.0,0.0,False,False
False,101238.1,11.0,0.0,False,False
False,674198.88,11.0,0.0,False,False
False,72065.0,10.0,0.0,False,False
False,611682.27,559.0,0.0,False,False
False,1009090.55,70.0,0.0,False,False
False,381840.42,55.0,0.0,False,False
False,102.07,0.0,0.0,False,False
False,16284.15,0.0,0.0,False,False
False,169.87,0.0,0.0,False,False
False,2250.73,0.0,0.0,False,False
False,341868.53,0.0,0.0,False,False
False,614761.98,24.0,0.0,False,False
False,10.8,0.0,0.0,False,False
False,7.53,0.0,0.0,False,False
False,688942.0,0.0,0.0,False,False
False,596107.57,7.0,0.9,False,False
False,288353.97,0.0,0.0,False,False
False,31.28,0.0,0.0,False,False
False,18.47,0.0,0.0,False,False
False,64.95,0.0,0.0,False,False
False,251884.43,11.0,0.0,False,False
False,342210.95,0.0,0.0,False,False
False,952.85,0.0,0.0,False,False
False,10.87,0.0,0.0,False,False
False,46.45,0.0,0.0,False,False
False,323.42,0.0,0.0,False,False
False,20.18,0.0,0.0,False,False
False,314.65,0.0,0.0,False,False
False,73.97,0.0,0.0,False,False
False,10.38,0.0,0.0,False,False
False,327.37,0.0,0.0,False,False
False,376480.78,46.0,0.0,False,False
False,617468.87,0.0,0.0,False,False
False,10.93,0.0,0.0,False,False
False,73.42,0.0,0.0,False,False
False,520700.2,11.0,0.0,False,False
False,127115.7,0.0,0.0,False,False
False,353915.25,0.0,0.0,False,False
False,75.03,0.0,0.0,False,False
False,62.6,0.0,0.0,False,False
False,301482.83,0.0,0.0,False,False
False,310.32,0.0,0.0,False,False
False,40.8,0.0,0.0,False,False
False,2669.23,0.0,0.0,False,False
False,946931.97,111.0,0.0,False,False
False,13.88,0.0,0.0,False,False
False,5.9,0.0,0.0,False,False
False,323.38,0.0,0.0,False,False
False,743941.13,0.0,0.0,False,False
False,152789.92,0.0,0.0,False,False
False,178770.6,0.0,0.0,False,False
False,1019244.7,23.0,0.0,False,False
